u,v,key,geometry
835468051,13410527026,0,"LINESTRING (-2.58592 51.464615, -2.585989 51.464663, -2.586 51.464672, -2.586012 51.464681, -2.586083 51.464735)"
283348164,859323271,0,"LINESTRING (-2.584755 51.464544, -2.584103 51.464862)"
283348164,283348229,0,"LINESTRING (-2.584755 51.464544, -2.583696 51.463768, -2.583655 51.463738)"
283348164,283348057,0,"LINESTRING (-2.584755 51.464544, -2.585132 51.464365, -2.585416 51.46423)"
19875368,104833,0,"LINESTRING (-2.587594 51.463911, -2.586649 51.464346)"
19875368,19875367,0,"LINESTRING (-2.587594 51.463911, -2.587099 51.463428)"
19875368,5900430623,0,"LINESTRING (-2.587594 51.463911, -2.58812 51.46442)"
19875368,4794218449,0,"LINESTRING (-2.587594 51.463911, -2.588343 51.463543)"
19875356,104833,0,"LINESTRING (-2.587352 51.464891, -2.586649 51.464346)"
19875356,31079955,0,"LINESTRING (-2.587352 51.464891, -2.586863 51.465087, -2.586698 51.465153)"
19875356,19875354,0,"LINESTRING (-2.587352 51.464891, -2.587964 51.464651, -2.588069 51.464618, -2.588277 51.464571)"
293907316,2882617940,0,"LINESTRING (-2.588455 51.462815, -2.588027 51.462469)"
293907316,4795736877,0,"LINESTRING (-2.588455 51.462815, -2.588502 51.462794)"
293907316,19875367,0,"LINESTRING (-2.588455 51.462815, -2.587547 51.463226, -2.587099 51.463428)"
104812,358460226,0,"LINESTRING (-2.580726 51.463967, -2.580305 51.463758)"
104812,462979246,0,"LINESTRING (-2.580726 51.463967, -2.580904 51.464062)"
104812,6327939494,0,"LINESTRING (-2.580726 51.463967, -2.580869 51.463835, -2.580997 51.463715, -2.581162 51.463549)"
358460226,104814,0,"LINESTRING (-2.580305 51.463758, -2.579692 51.463446)"
358460226,104812,0,"LINESTRING (-2.580305 51.463758, -2.580726 51.463967)"
462979246,104812,0,"LINESTRING (-2.580904 51.464062, -2.580726 51.463967)"
462979246,21591973,0,"LINESTRING (-2.580904 51.464062, -2.581512 51.464371)"
462979246,2433742262,0,"LINESTRING (-2.580904 51.464062, -2.581323 51.463796)"
462979246,5823112370,0,"LINESTRING (-2.580904 51.464062, -2.579805 51.464904, -2.579762 51.464937, -2.579768 51.464973, -2.579748 51.464994, -2.579729 51.465014)"
6327939494,6327939493,0,"LINESTRING (-2.581162 51.463549, -2.581257 51.463607)"
6327939494,6327939492,0,"LINESTRING (-2.581162 51.463549, -2.581219 51.46349, -2.581474 51.463233)"
6327939494,104812,0,"LINESTRING (-2.581162 51.463549, -2.580997 51.463715, -2.580869 51.463835, -2.580726 51.463967)"
104814,104813,0,"LINESTRING (-2.579692 51.463446, -2.579038 51.463106)"
104814,358460226,0,"LINESTRING (-2.579692 51.463446, -2.580305 51.463758)"
2433742262,462979246,0,"LINESTRING (-2.581323 51.463796, -2.580904 51.464062)"
2433742262,835468063,0,"LINESTRING (-2.581323 51.463796, -2.58138 51.463827)"
2433742262,859323102,0,"LINESTRING (-2.581323 51.463796, -2.581414 51.463743, -2.581584 51.46364)"
5823112370,1282205526,0,"LINESTRING (-2.579729 51.465014, -2.579687 51.465057)"
5823112370,462979246,0,"LINESTRING (-2.579729 51.465014, -2.579748 51.464994, -2.579768 51.464973, -2.579762 51.464937, -2.579805 51.464904, -2.580904 51.464062)"
6327939493,6327939494,0,"LINESTRING (-2.581257 51.463607, -2.581162 51.463549)"
6327939492,6327939491,0,"LINESTRING (-2.581474 51.463233, -2.581586 51.463299)"
6327939492,859323083,0,"LINESTRING (-2.581474 51.463233, -2.581505 51.463202, -2.58157 51.463149, -2.5817 51.463051)"
6327939492,6327939494,0,"LINESTRING (-2.581474 51.463233, -2.581219 51.46349, -2.581162 51.463549)"
104813,104814,0,"LINESTRING (-2.579038 51.463106, -2.579692 51.463446)"
104813,1297069021,0,"LINESTRING (-2.579038 51.463106, -2.578812 51.463291)"
104813,1297069022,0,"LINESTRING (-2.579038 51.463106, -2.579196 51.462964)"
1297069021,1282135924,0,"LINESTRING (-2.578812 51.463291, -2.578721 51.463249)"
1297069021,104813,0,"LINESTRING (-2.578812 51.463291, -2.579038 51.463106)"
1297069022,104813,0,"LINESTRING (-2.579196 51.462964, -2.579038 51.463106)"
1297069022,1297069020,0,"LINESTRING (-2.579196 51.462964, -2.579388 51.462776)"
1297069022,1282135926,0,"LINESTRING (-2.579196 51.462964, -2.579142 51.462941, -2.579065 51.463008, -2.579031 51.46299)"
1282135924,1297069021,0,"LINESTRING (-2.578721 51.463249, -2.578812 51.463291)"
1297069020,1282135928,0,"LINESTRING (-2.579388 51.462776, -2.579325 51.462749)"
1297069020,1297069022,0,"LINESTRING (-2.579388 51.462776, -2.579196 51.462964)"
1297069020,1722968878,0,"LINESTRING (-2.579388 51.462776, -2.579684 51.462476)"
1282135926,1297069022,0,"LINESTRING (-2.579031 51.46299, -2.579065 51.463008, -2.579142 51.462941, -2.579196 51.462964)"
104829,1242132583,0,"LINESTRING (-2.580718 51.461573, -2.580733 51.461513, -2.58075 51.461441, -2.580795 51.461403, -2.581266 51.46108)"
104829,19871273,0,"LINESTRING (-2.580718 51.461573, -2.580784 51.461588, -2.580839 51.461616, -2.581266 51.461937, -2.581979 51.461518, -2.58229 51.461332)"
104829,1722968878,0,"LINESTRING (-2.580718 51.461573, -2.58064 51.461579, -2.580548 51.461617, -2.580365 51.461766, -2.579748 51.462414, -2.579684 51.462476)"
1242132583,104829,0,"LINESTRING (-2.581266 51.46108, -2.580795 51.461403, -2.58075 51.461441, -2.580733 51.461513, -2.580718 51.461573)"
1242132583,17476836,0,"LINESTRING (-2.581266 51.46108, -2.581473 51.460936, -2.581574 51.460852)"
1242132583,6211451020,0,"LINESTRING (-2.581266 51.46108, -2.58145 51.461184, -2.581547 51.461221, -2.581583 51.461226, -2.581628 51.461213, -2.581876 51.461096, -2.581971 51.461062, -2.582035 51.46104, -2.582094 51.46102, -2.582128 51.460994, -2.582138 51.460952, -2.582134 51.4609, -2.582109 51.460861, -2.582063 51.460824, -2.58187 51.460715)"
19871273,19871274,0,"LINESTRING (-2.58229 51.461332, -2.582866 51.461147)"
19871273,104829,0,"LINESTRING (-2.58229 51.461332, -2.581979 51.461518, -2.581266 51.461937, -2.580839 51.461616, -2.580784 51.461588, -2.580718 51.461573)"
19871273,6211450986,0,"LINESTRING (-2.58229 51.461332, -2.582362 51.461422, -2.582534 51.461639)"
1722968878,1722968890,0,"LINESTRING (-2.579684 51.462476, -2.579964 51.462587)"
1722968878,1297069020,0,"LINESTRING (-2.579684 51.462476, -2.579388 51.462776)"
1722968878,104829,0,"LINESTRING (-2.579684 51.462476, -2.579748 51.462414, -2.580365 51.461766, -2.580548 51.461617, -2.58064 51.461579, -2.580718 51.461573)"
17476836,6211451020,0,"LINESTRING (-2.581574 51.460852, -2.58187 51.460715)"
17476836,1242132583,0,"LINESTRING (-2.581574 51.460852, -2.581473 51.460936, -2.581266 51.46108)"
6211451020,17476836,0,"LINESTRING (-2.58187 51.460715, -2.581574 51.460852)"
6211451020,1242132577,0,"LINESTRING (-2.58187 51.460715, -2.5819 51.460701, -2.582293 51.460537, -2.582404 51.460491)"
6211451020,1242132583,0,"LINESTRING (-2.58187 51.460715, -2.582063 51.460824, -2.582109 51.460861, -2.582134 51.4609, -2.582138 51.460952, -2.582128 51.460994, -2.582094 51.46102, -2.582035 51.46104, -2.581971 51.461062, -2.581876 51.461096, -2.581628 51.461213, -2.581583 51.461226, -2.581547 51.461221, -2.58145 51.461184, -2.581266 51.46108)"
19871274,5753086713,0,"LINESTRING (-2.582866 51.461147, -2.582576 51.460767)"
19871274,19871273,0,"LINESTRING (-2.582866 51.461147, -2.58229 51.461332)"
19871274,262442292,0,"LINESTRING (-2.582866 51.461147, -2.58397 51.460813)"
6211450986,19871273,0,"LINESTRING (-2.582534 51.461639, -2.582362 51.461422, -2.58229 51.461332)"
1722968890,1722968878,0,"LINESTRING (-2.579964 51.462587, -2.579684 51.462476)"
1722968890,1722968881,0,"LINESTRING (-2.579964 51.462587, -2.580034 51.462511)"
1722968890,1722968925,0,"LINESTRING (-2.579964 51.462587, -2.579615 51.462968)"
5900430623,19875368,0,"LINESTRING (-2.58812 51.46442, -2.587594 51.463911)"
5900430623,19875354,0,"LINESTRING (-2.58812 51.46442, -2.588277 51.464571)"
5900430623,5900430626,0,"LINESTRING (-2.58812 51.46442, -2.588218 51.464389, -2.58838 51.464338, -2.588432 51.464322)"
4794218449,19875368,0,"LINESTRING (-2.588343 51.463543, -2.587594 51.463911)"
4794218449,21309748,0,"LINESTRING (-2.588343 51.463543, -2.588998 51.46322, -2.589084 51.463187, -2.589178 51.463183, -2.58987 51.463239)"
4794218449,4794218446,0,"LINESTRING (-2.588343 51.463543, -2.588377 51.46357, -2.588454 51.463631, -2.5885 51.463667)"
31079955,1095623221,0,"LINESTRING (-2.586698 51.465153, -2.58665 51.465168)"
31079955,21591885,0,"LINESTRING (-2.586698 51.465153, -2.587101 51.46564, -2.587436 51.466046)"
31079955,19875356,0,"LINESTRING (-2.586698 51.465153, -2.586863 51.465087, -2.587352 51.464891)"
19875354,5900430623,0,"LINESTRING (-2.588277 51.464571, -2.58812 51.46442)"
19875354,13275305469,0,"LINESTRING (-2.588277 51.464571, -2.588989 51.464406)"
19875354,19875356,0,"LINESTRING (-2.588277 51.464571, -2.588069 51.464618, -2.587964 51.464651, -2.587352 51.464891)"
104837,21591967,0,"LINESTRING (-2.587217 51.461798, -2.587622 51.462142)"
104837,19875366,0,"LINESTRING (-2.587217 51.461798, -2.586876 51.461962)"
104837,5906030287,0,"LINESTRING (-2.587217 51.461798, -2.587394 51.461706, -2.587452 51.461678)"
21591967,104837,0,"LINESTRING (-2.587622 51.462142, -2.587217 51.461798)"
21591967,2882617940,0,"LINESTRING (-2.587622 51.462142, -2.588027 51.462469)"
21591967,21591966,0,"LINESTRING (-2.587622 51.462142, -2.5864 51.462743)"
19875366,287225971,0,"LINESTRING (-2.586876 51.461962, -2.586596 51.461596)"
19875366,5906108608,0,"LINESTRING (-2.586876 51.461962, -2.586585 51.462106)"
19875366,104837,0,"LINESTRING (-2.586876 51.461962, -2.587217 51.461798)"
5906030287,262442708,0,"LINESTRING (-2.587452 51.461678, -2.588183 51.461322)"
5906030287,104837,0,"LINESTRING (-2.587452 51.461678, -2.587394 51.461706, -2.587217 51.461798)"
5906030287,5906030290,0,"LINESTRING (-2.587452 51.461678, -2.587402 51.461638, -2.587327 51.461578, -2.587303 51.461558)"
2882617940,21591967,0,"LINESTRING (-2.588027 51.462469, -2.587622 51.462142)"
2882617940,293907316,0,"LINESTRING (-2.588027 51.462469, -2.588455 51.462815)"
2882617940,859323223,0,"LINESTRING (-2.588027 51.462469, -2.58818 51.462394, -2.588165 51.462381, -2.58808 51.462422, -2.588063 51.462408, -2.58817 51.462359, -2.588181 51.462367, -2.58832 51.4623)"
287225971,19875366,0,"LINESTRING (-2.586596 51.461596, -2.586876 51.461962)"
287225971,19871261,0,"LINESTRING (-2.586596 51.461596, -2.586359 51.461269)"
287225971,364165242,0,"LINESTRING (-2.586596 51.461596, -2.585654 51.461878)"
5906108608,19875366,0,"LINESTRING (-2.586585 51.462106, -2.586876 51.461962)"
5906108608,19875363,0,"LINESTRING (-2.586585 51.462106, -2.586094 51.462351, -2.586046 51.462375)"
5906108608,5906108611,0,"LINESTRING (-2.586585 51.462106, -2.586534 51.462054, -2.586483 51.462006, -2.586433 51.461957)"
262442708,5906030287,0,"LINESTRING (-2.588183 51.461322, -2.587452 51.461678)"
262442708,104838,0,"LINESTRING (-2.588183 51.461322, -2.588728 51.461062)"
262442708,262442706,0,"LINESTRING (-2.588183 51.461322, -2.588155 51.461299, -2.588005 51.461186)"
5906030290,5906030287,0,"LINESTRING (-2.587303 51.461558, -2.587327 51.461578, -2.587402 51.461638, -2.587452 51.461678)"
104838,5240224448,0,"LINESTRING (-2.588728 51.461062, -2.588612 51.460804)"
104838,262442708,0,"LINESTRING (-2.588728 51.461062, -2.588183 51.461322)"
104838,5240224464,0,"LINESTRING (-2.588728 51.461062, -2.588968 51.461266)"
104838,287226483,0,"LINESTRING (-2.588728 51.461062, -2.589969 51.460488, -2.590008 51.460521, -2.590017 51.460528, -2.590163 51.460663, -2.590386 51.460593, -2.590428 51.46058)"
5240224448,25280227,0,"LINESTRING (-2.588612 51.460804, -2.58842 51.460375)"
5240224448,104838,0,"LINESTRING (-2.588612 51.460804, -2.588728 51.461062)"
5240224448,5240224447,0,"LINESTRING (-2.588612 51.460804, -2.588486 51.460826, -2.588332 51.460852)"
5240224464,104838,0,"LINESTRING (-2.588968 51.461266, -2.588728 51.461062)"
5240224464,364165254,0,"LINESTRING (-2.588968 51.461266, -2.58915 51.461422)"
5240224464,5240224465,0,"LINESTRING (-2.588968 51.461266, -2.589082 51.461211)"
287226483,3332266263,0,"LINESTRING (-2.590428 51.46058, -2.590785 51.460468)"
287226483,287226581,0,"LINESTRING (-2.590428 51.46058, -2.590401 51.460619, -2.590298 51.460857)"
287226483,104838,0,"LINESTRING (-2.590428 51.46058, -2.590386 51.460593, -2.590163 51.460663, -2.590017 51.460528, -2.590008 51.460521, -2.589969 51.460488, -2.588728 51.461062)"
25280227,5240224448,0,"LINESTRING (-2.58842 51.460375, -2.588612 51.460804)"
25280227,262442627,0,"LINESTRING (-2.58842 51.460375, -2.588283 51.460397, -2.587734 51.460486)"
25280227,262442297,0,"LINESTRING (-2.58842 51.460375, -2.588244 51.460303, -2.587898 51.460181)"
25280227,25280228,0,"LINESTRING (-2.58842 51.460375, -2.58838 51.460281, -2.588238 51.45994, -2.588207 51.459865)"
25280227,287226447,0,"LINESTRING (-2.58842 51.460375, -2.588623 51.460335, -2.589598 51.460095)"
5240224447,5240224448,0,"LINESTRING (-2.588332 51.460852, -2.588486 51.460826, -2.588612 51.460804)"
262442706,262442698,0,"LINESTRING (-2.588005 51.461186, -2.587718 51.461327, -2.587661 51.461346, -2.587601 51.461358, -2.587542 51.461366, -2.587481 51.461368, -2.58742 51.461366, -2.587374 51.461355, -2.587342 51.46134, -2.58732 51.461325, -2.587308 51.461304, -2.5873 51.461283, -2.587299 51.461262, -2.587306 51.46123, -2.587327 51.461195)"
262442706,262442708,0,"LINESTRING (-2.588005 51.461186, -2.588155 51.461299, -2.588183 51.461322)"
262442706,262442695,0,"LINESTRING (-2.588005 51.461186, -2.587878 51.461087, -2.587861 51.461065)"
364165254,5240224479,0,"LINESTRING (-2.58915 51.461422, -2.588643 51.461662)"
364165254,5240224464,0,"LINESTRING (-2.58915 51.461422, -2.588968 51.461266)"
364165254,5240224498,0,"LINESTRING (-2.58915 51.461422, -2.589321 51.461572)"
364165254,287226581,0,"LINESTRING (-2.58915 51.461422, -2.590298 51.460857)"
5240224465,5240224464,0,"LINESTRING (-2.589082 51.461211, -2.588968 51.461266)"
3332266263,287226495,0,"LINESTRING (-2.590785 51.460468, -2.590846 51.460449)"
3332266263,287226483,0,"LINESTRING (-2.590785 51.460468, -2.590428 51.46058)"
3332266263,3332266270,0,"LINESTRING (-2.590785 51.460468, -2.590827 51.460534)"
3332266263,1280853181,0,"LINESTRING (-2.590785 51.460468, -2.590675 51.460319)"
287226581,364165254,0,"LINESTRING (-2.590298 51.460857, -2.58915 51.461422)"
287226581,287226485,0,"LINESTRING (-2.590298 51.460857, -2.589711 51.461884)"
287226581,287226483,0,"LINESTRING (-2.590298 51.460857, -2.590401 51.460619, -2.590428 51.46058)"
104854,4661094415,0,"LINESTRING (-2.585877 51.457068, -2.585816 51.456986)"
4661094415,104854,0,"LINESTRING (-2.585816 51.456986, -2.585877 51.457068)"
4661094415,5822644372,0,"LINESTRING (-2.585816 51.456986, -2.585775 51.45693, -2.585746 51.456886, -2.585655 51.456744, -2.585645 51.45673)"
4661094415,6824060867,0,"LINESTRING (-2.585816 51.456986, -2.585765 51.457014, -2.585741 51.457022, -2.585791 51.457114)"
4661094415,12595689526,0,"LINESTRING (-2.585816 51.456986, -2.585879 51.456951, -2.585904 51.45694)"
5822644372,17405115,0,"LINESTRING (-2.585645 51.45673, -2.585463 51.456465)"
5822644372,12595689521,0,"LINESTRING (-2.585645 51.45673, -2.58573 51.456712)"
5822644372,4661094415,0,"LINESTRING (-2.585645 51.45673, -2.585655 51.456744, -2.585746 51.456886, -2.585775 51.45693, -2.585816 51.456986)"
6824060867,8910794148,0,"LINESTRING (-2.585791 51.457114, -2.585704 51.457084, -2.585676 51.457077, -2.585651 51.457071)"
6824060867,4661094415,0,"LINESTRING (-2.585791 51.457114, -2.585741 51.457022, -2.585765 51.457014, -2.585816 51.456986)"
6824060867,4661094416,0,"LINESTRING (-2.585791 51.457114, -2.585802 51.457134, -2.585843 51.457207, -2.585876 51.457198, -2.585888 51.457195, -2.585966 51.457176)"
12595689526,4661094415,0,"LINESTRING (-2.585904 51.45694, -2.585879 51.456951, -2.585816 51.456986)"
12595689526,12595689521,0,"LINESTRING (-2.585904 51.45694, -2.585866 51.456913, -2.58573 51.456712)"
12595689526,12595689528,0,"LINESTRING (-2.585904 51.45694, -2.585957 51.456957, -2.586005 51.456962)"
104855,5919449224,0,"LINESTRING (-2.586726 51.458295, -2.586697 51.458246)"
104855,2043096366,0,"LINESTRING (-2.586726 51.458295, -2.586818 51.458425, -2.586955 51.458617, -2.587033 51.458709, -2.587123 51.458764)"
104855,6481238337,0,"LINESTRING (-2.586726 51.458295, -2.586464 51.458312, -2.586176 51.458329, -2.585886 51.458354, -2.585412 51.458444, -2.585149 51.458505)"
5919449224,104855,0,"LINESTRING (-2.586697 51.458246, -2.586726 51.458295)"
5919449224,5919449207,0,"LINESTRING (-2.586697 51.458246, -2.586445 51.457881, -2.586251 51.457589, -2.586215 51.457535, -2.586188 51.457498)"
