edge_id,from_node,to_node,key,length,travel_time,safety_score,speed_score,greenery_score,weight
1441,2433764735,2433764788,0,48.842324042691054,4.986736505277287,0.16000000000000003,0.45,0.004999999999999999,30.038029286254996
1442,2433764735,2433764901,0,6.815628895572401,0.6958666706823028,0.16000000000000003,0.45,0.004999999999999999,4.191611770777027
1443,2433764735,835468054,0,20.109663778039124,2.2492074266761795,0.16000000000000003,0.45,0.08000000000000002,13.875668006846997
1444,2433764852,2433764788,0,5.4929222675289635,0.5608200782623525,0.16000000000000003,0.45,0.004999999999999999,3.3781471945303125
1445,2433764852,859323020,0,9.605518726881241,0.980710722233359,0.16000000000000003,0.45,0.004999999999999999,5.907394017031963
1446,2433764852,2433764891,0,21.72872207854695,2.2184737054568835,0.16000000000000003,0.45,0.004999999999999999,13.363164078306374
1447,2433764788,2433764852,0,5.4929222675289635,0.5608200782623525,0.16000000000000003,0.45,0.004999999999999999,3.3781471945303125
1448,2433764788,2433764735,0,48.842324042691054,4.986736505277287,0.16000000000000003,0.45,0.004999999999999999,30.038029286254996
1449,2433764788,2433744230,0,23.60310060542931,2.4098452670668977,0.16000000000000003,0.45,0.004999999999999999,14.515906872339027
1450,2433764901,2433764738,0,22.48724069542253,2.2959174502180812,0.16000000000000003,0.45,0.004999999999999999,13.829653027684854
1451,2433764901,2433764735,0,6.815628895572401,0.6958666706823028,0.16000000000000003,0.45,0.004999999999999999,4.191611770777027
1452,2433764901,2433764759,0,30.058073316021463,3.3619081094634224,0.16000000000000003,0.45,0.08000000000000002,20.740070588054813
1453,2433764759,859323259,0,47.72974234979766,5.338432912227112,0.16000000000000003,0.45,0.08000000000000002,32.93352222136039
1454,2433764759,859323097,0,59.35868503892104,6.639096341982296,0.16000000000000003,0.45,0.08000000000000002,40.95749267685552
1455,2433764759,2433764901,0,30.058073316021463,3.3619081094634224,0.16000000000000003,0.45,0.08000000000000002,20.740070588054813
1456,2433764891,2433764852,0,21.72872207854695,2.2184737054568835,0.16000000000000003,0.45,0.004999999999999999,13.363164078306374
1457,2433764891,2433764893,0,39.8425963478984,4.067876243960679,0.16000000000000003,0.45,0.004999999999999999,24.503196753957514
1458,2433764891,2433764623,0,17.35442360860062,1.771863633299103,0.16000000000000003,0.45,0.004999999999999999,10.67297051928938
1459,2433764693,835468057,0,22.340787568909395,2.498752135908939,0.16000000000000003,0.45,0.08000000000000002,15.415143422547484
1460,2433764693,2433764668,0,12.080757361515918,1.2334293039252666,0.16000000000000003,0.45,0.004999999999999999,7.429665777332289
1461,2433764693,3546758138,0,38.95881293566231,4.357429957882869,0.16000000000000003,0.45,0.08000000000000002,26.881580925606997
1462,2433764756,5438534268,0,7.293470247663063,0.8157534421435815,0.16000000000000003,0.45,0.09,5.1054291733641435
1463,2433764756,835468057,0,12.371172996180459,1.3836797316368716,0.16000000000000003,0.45,0.09,8.65982109732632
1464,2433764756,2433764668,0,22.544573758003153,2.301771079866831,0.16000000000000003,0.45,0.004999999999999999,13.86491286117194
1465,2433764668,2433764693,0,12.080757361515918,1.2334293039252666,0.16000000000000003,0.45,0.004999999999999999,7.429665777332289
1466,2433764668,2433764756,0,22.544573758003153,2.301771079866831,0.16000000000000003,0.45,0.004999999999999999,13.86491286117194
1467,2433764668,3546758138,0,25.98694746341491,2.653232869575674,0.16000000000000003,0.45,0.004999999999999999,15.98197269000017
1468,3546758138,2433764668,0,25.98694746341491,2.653232869575674,0.16000000000000003,0.45,0.004999999999999999,15.98197269000017
1469,3546758138,2433764893,0,3.4824341314655403,0.35555190607686743,0.16000000000000003,0.45,0.004999999999999999,2.1416969908513073
1470,3546758138,2433764693,0,38.95881293566231,4.357429957882869,0.16000000000000003,0.45,0.08000000000000002,26.881580925606997
1471,5438534268,2433764756,0,7.293470247663063,0.8157534421435815,0.16000000000000003,0.45,0.09,5.1054291733641435
1472,5438534268,2433744240,0,34.82092523121401,3.8946192486475963,0.16000000000000003,0.45,0.09,24.374647661849806
1473,5438534268,8230223567,0,42.6292463088348,4.767957259243084,0.16000000000000003,0.45,0.09,29.840472416184358
