u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,speed_kph,travel_time,geometry,lit,surface,ref,width,tunnel,junction,access,service,bridge
21761594,3297556863,0,4197043,unclassified,2,20 mph,Sidwell Street,False,False,20.386327912588143,32.1868,2.280151505751343,"LINESTRING (-3.5269569 50.7255426, -3.5266948 50.7256206)",yes,asphalt,,,,,,,
21761594,497693629,0,42490982,secondary,2,20 mph,Paris Street,False,True,12.841194547715132,32.1868,1.4362502756339395,"LINESTRING (-3.5269569 50.7255426, -3.5268456 50.7254511)",yes,asphalt,B3183,,,,,,
21761594,376042422,0,596074182,unclassified,1,20 mph,High Street,False,True,8.551931363436312,32.1868,0.9565086590891522,"LINESTRING (-3.5269569 50.7255426, -3.5270691 50.7255131)",yes,asphalt,,6.6,,,,,
3297556863,21761594,0,4197043,unclassified,2,20 mph,Sidwell Street,False,True,20.386327912588143,32.1868,2.280151505751343,"LINESTRING (-3.5266948 50.7256206, -3.5269569 50.7255426)",yes,asphalt,,,,,,,
3297556863,299022771,0,4197043,unclassified,2,20 mph,Sidwell Street,False,False,36.68326141578737,32.1868,4.1029161363302515,"LINESTRING (-3.5266948 50.7256206, -3.5265693 50.7256557, -3.526328 50.72573, -3.5262263 50.7257648)",yes,asphalt,,,,,,,
3297556863,3297556862,0,697870534,footway,,,,False,False,77.73724305974046,32.1868,8.694684622735585,"LINESTRING (-3.5266948 50.7256206, -3.5267421 50.7256805, -3.5269251 50.7256686, -3.5270398 50.7257219, -3.5272712 50.7259224, -3.5273771 50.7260209, -3.5273811 50.726079)",yes,asphalt,,,,,,,
3297556863,6212403298,0,697870534,footway,,,,False,True,18.3648064163063,32.1868,2.054050203769952,"LINESTRING (-3.5266948 50.7256206, -3.5266536 50.7255676, -3.5267461 50.7255298, -3.526752 50.7254936)",yes,asphalt,,,,,,,
497693629,21761594,0,42490982,secondary,2,20 mph,Paris Street,False,False,12.841194547715132,32.1868,1.4362502756339395,"LINESTRING (-3.5268456 50.7254511, -3.5269569 50.7255426)",yes,asphalt,B3183,,,,,,
497693629,21761641,0,"[408884056, 25114997]",secondary,"['2', '1']",20 mph,Paris Street,False,True,53.5351880505618,32.1868,5.9877551350871325,"LINESTRING (-3.5268456 50.7254511, -3.5268075 50.7254146, -3.5266063 50.7252301, -3.5263396 50.7250994)",yes,paving_stones,B3183,,,,,,
497693629,6212425622,0,663718584,footway,,,,False,False,7.710813954550807,32.1868,0.8624321223726157,"LINESTRING (-3.5268456 50.7254511, -3.526901 50.72543, -3.5269405 50.7254165)",yes,asphalt,,,,,,,
497693629,6212403298,0,663718584,footway,,,,False,True,8.109324809496202,32.1868,0.9070044028665891,"LINESTRING (-3.5268456 50.7254511, -3.5267964 50.7254742, -3.526752 50.7254936)",yes,asphalt,,,,,,,
376042422,21761594,0,596074182,unclassified,1,20 mph,High Street,False,False,8.551931363436312,32.1868,0.9565086590891522,"LINESTRING (-3.5270691 50.7255131, -3.5269569 50.7255426)",yes,asphalt,,6.6,,,,,
376042422,41437657,0,596074182,unclassified,1,20 mph,High Street,False,True,30.660349082328466,32.1868,3.42927090286647,"LINESTRING (-3.5270691 50.7255131, -3.5274544 50.7253845)",yes,paving_stones,,6.6,,,,,
376042422,6212425622,0,663716085,footway,,,,False,True,14.047118232639317,32.1868,1.5711293336865282,"LINESTRING (-3.5270691 50.7255131, -3.527031 50.7254845, -3.5269513 50.7254246, -3.5269405 50.7254165)",yes,asphalt,,,,,,,
299022771,3297556863,0,4197043,unclassified,2,20 mph,Sidwell Street,False,True,36.68326141578737,32.1868,4.1029161363302515,"LINESTRING (-3.5262263 50.7257648, -3.526328 50.72573, -3.5265693 50.7256557, -3.5266948 50.7256206)",yes,asphalt,,,,,,,
299022771,1479619169,0,"[655682120, 655682119]",unclassified,2,20 mph,Sidwell Street,False,False,45.70324746154646,32.1868,5.111775350813604,"LINESTRING (-3.5262263 50.7257648, -3.526036 50.7258579, -3.5258812 50.7259466, -3.5257469 50.7260404)",yes,asphalt,,,,,,,
299022771,299022772,0,"[26645194, 1099927789, 1099927790]",footway,,,,False,True,48.72197859610482,32.1868,5.449411651545893,"LINESTRING (-3.5262263 50.7257648, -3.5261903 50.7257346, -3.5261172 50.725686, -3.5258592 50.7255159, -3.525815 50.7254825, -3.5257586 50.7254422)",yes,asphalt,,,yes,,,,
3297556862,36670781,0,42027861,unclassified,,20 mph,Longbrook Street,False,False,10.538932479426583,32.1868,1.1787489568995893,"LINESTRING (-3.5273811 50.726079, -3.5275077 50.7260284)",yes,asphalt,,,,,,,
3297556862,292262646,0,42027861,unclassified,,20 mph,Longbrook Street,False,True,68.92883253492323,32.1868,7.709489515134267,"LINESTRING (-3.5273811 50.726079, -3.5273222 50.726141, -3.5273065 50.726161, -3.5272741 50.7262023, -3.5272495 50.7262618, -3.5271847 50.7264889, -3.5271285 50.7266723)",yes,asphalt,,,,,,,
3297556862,3297556863,0,697870534,footway,,,,False,True,77.73724305974048,32.1868,8.694684622735586,"LINESTRING (-3.5273811 50.726079, -3.5273771 50.7260209, -3.5272712 50.7259224, -3.5270398 50.7257219, -3.5269251 50.7256686, -3.5267421 50.7256805, -3.5266948 50.7256206)",yes,asphalt,,,,,,,
6212403298,497693629,0,663718584,footway,,,,False,False,8.109324809496202,32.1868,0.9070044028665891,"LINESTRING (-3.526752 50.7254936, -3.5267964 50.7254742, -3.5268456 50.7254511)",yes,asphalt,,,,,,,
