u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,speed_kph,travel_time,geometry,lit,surface,ref,width,tunnel,junction,access,service,bridge,distance,lighting,greenery,pollution,surface_quality
3297556862,292262646,0,42027861,unclassified,,20 mph,Longbrook Street,False,True,68.92883253492323,32.1868,7.709489515134267,"LINESTRING (-3.5273811 50.726079, -3.5273222 50.726141, -3.5273065 50.726161, -3.5272741 50.7262023, -3.5272495 50.7262618, -3.5271847 50.7264889, -3.5271285 50.7266723)",yes,asphalt,,,,,,,,68.92883253492323,0.2,0.4,0.3,0.9
3297556862,3297556863,0,697870534,footway,,,,False,True,77.73724305974048,34.375197396878484,8.141162704726126,"LINESTRING (-3.5273811 50.726079, -3.5273771 50.7260209, -3.5272712 50.7259224, -3.5270398 50.7257219, -3.5269251 50.7256686, -3.5267421 50.7256805, -3.5266948 50.7256206)",yes,asphalt,,,,,,,,77.73724305974048,0.2,0.9,0.1,0.9
6212403298,497693629,0,663718584,footway,,,,False,False,8.109324809496202,34.375197396878484,0.8492625941062178,"LINESTRING (-3.526752 50.7254936, -3.5267964 50.7254742, -3.5268456 50.7254511)",yes,asphalt,,,,,,,,8.109324809496202,0.2,0.9,0.1,0.9
6212403298,3297556863,0,697870534,footway,,,,False,False,18.3648064163063,34.375197396878484,1.9232850457669302,"LINESTRING (-3.526752 50.7254936, -3.5267461 50.7255298, -3.5266536 50.7255676, -3.5266948 50.7256206)",yes,asphalt,,,,,,,,18.3648064163063,0.2,0.9,0.1,0.9
6212403298,6531967633,0,697870534,footway,,,,False,True,51.74927111779405,34.375197396878484,5.419528908391832,"LINESTRING (-3.526752 50.7254936, -3.5266985 50.7254079, -3.5265299 50.7252766, -3.5264012 50.7252032, -3.5262825 50.7251461)",yes,asphalt,,,,,,,,51.74927111779405,0.2,0.9,0.1,0.9
21761641,6531967633,0,8693858,pedestrian,,,Princesshay Lane,False,False,6.566605627444189,32.1868,0.7344557476605031,"LINESTRING (-3.5263396 50.7250994, -3.5262825 50.7251461)",yes,asphalt,,,,,,,,6.566605627444189,0.2,0.4,0.3,0.9
21761641,6212403293,0,8693858,pedestrian,,,Princesshay Lane,False,True,8.81154637876016,32.1868,0.9855458437476411,"LINESTRING (-3.5263396 50.7250994, -3.5264132 50.7250353)",yes,paving_stones,,,,,,,,8.81154637876016,0.2,0.4,0.3,1.1
21761641,497693629,0,"[408884056, 25114997]",secondary,"['1', '2']",20 mph,Paris Street,False,False,53.5351880505618,32.1868,5.9877551350871325,"LINESTRING (-3.5263396 50.7250994, -3.5266063 50.7252301, -3.5268075 50.7254146, -3.5268456 50.7254511)",yes,asphalt,B3183,,,,,,,53.5351880505618,0.2,0.3,0.7,0.9
21761641,6212412132,0,25114997,secondary,1,20 mph,Paris Street,False,True,50.06600183154393,32.1868,5.599736742812524,"LINESTRING (-3.5263396 50.7250994, -3.5260721 50.7250027, -3.5259386 50.7249886, -3.5257648 50.7249709, -3.525673 50.7249694)",yes,paving_stones,B3183,,,,,,,50.06600183154393,0.2,0.3,0.7,1.1
6212425622,376042422,0,663716085,footway,,,,False,False,14.047118232639319,34.375197396878484,1.4711079344112692,"LINESTRING (-3.5269405 50.7254165, -3.5269513 50.7254246, -3.527031 50.7254845, -3.5270691 50.7255131)",yes,asphalt,,,,,,,,14.047118232639319,0.2,0.9,0.1,0.9
