osmid,highway,maxspeed,name,oneway,reversed,length,speed_kph,travel_time,geometry,lanes,access,tunnel,ref,junction,service,bridge,access_score,score_band,edge_colour
207653242,footway,,,False,True,68.14,32.18679999999999,7.621,"LINESTRING (-2.5880821 51.459523, -2.5884411 51.45953, -2.5890621 51.45949)",,,,,,,,0.008935672322598306,0.8,#66bd63
207653242,footway,,,False,False,5.89,32.18679999999999,0.659,"LINESTRING (-2.589147 51.4594872, -2.5890621 51.45949)",,,,,,,,0.009157938047345986,0.8,#66bd63
"[519432811, 519432812, 124100406]",service,,,False,False,51.94,32.1868,5.809,"LINESTRING (-2.589147 51.4594872, -2.5890296 51.4596743, -2.589018 51.4596886, -2.5889937 51.459697, -2.5889667 51.459691, -2.5889547 51.459681, -2.5889633 51.4596587, -2.5890621 51.45949)",,,building_passage,,,,,0.01043648920951492,0.8,#66bd63
207653242,footway,,,False,True,45.22,32.18679999999999,5.058,"LINESTRING (-2.589147 51.4594872, -2.5895012 51.4594849, -2.5897536 51.4595842)",,,,,,,,0.012101233790900303,0.7,#a5d86a
519432812,service,,,False,True,10.57,32.1868,1.182,"LINESTRING (-2.589147 51.4594872, -2.589174 51.4594436, -2.5892123 51.4594016)",,,,,,,,0.009157938047345986,0.8,#66bd63
112748677,footway,,,False,True,26.96,32.18679999999999,3.016,"LINESTRING (-2.5897536 51.4595842, -2.5897942 51.4596276, -2.5900156 51.4597615)",,,,,,,,0.017375427185929437,0.6,#d9ef8b
207653242,footway,,,False,False,45.22,32.18679999999999,5.058,"LINESTRING (-2.5897536 51.4595842, -2.5895012 51.4594849, -2.589147 51.4594872)",,,,,,,,0.012101233790900303,0.7,#a5d86a
1362339449,footway,,,False,True,35.91,32.18679999999999,4.016,"LINESTRING (-2.5897536 51.4595842, -2.5898118 51.4596071, -2.5899635 51.4597017, -2.5901332 51.4598028)",,,,,,,,0.019902747736509466,0.6,#d9ef8b
202761559,primary,20 mph,Stokes Croft,False,False,15.91,32.1868,1.779,"LINESTRING (-2.5901855 51.462178, -2.5902389 51.4621124, -2.5903093 51.4620585)",,,,A38,,,,0.10154294215989514,0.0,#a50026
471285349,footway,,,False,False,13.13,32.18679999999999,1.469,"LINESTRING (-2.5901855 51.462178, -2.5901338 51.4621692, -2.5901569 51.4620857)",,,,,,,,0.07141412638170172,0.0,#a50026
471285349,footway,,,False,True,5.57,32.18679999999999,0.623,"LINESTRING (-2.5901855 51.462178, -2.5902116 51.4621838, -2.590233 51.4621876, -2.5902622 51.4621929)",,,,,,,,0.11779268704167828,0.0,#a50026
"[625435528, 471285353, 625435532]",primary,20 mph,Stokes Croft,False,True,59.38,32.1868,6.642,"LINESTRING (-2.5901855 51.462178, -2.5901453 51.4622387, -2.5901074 51.4622933, -2.5900664 51.4623702, -2.5900222 51.4624492, -2.5899497 51.4626113, -2.5899404 51.4626527, -2.5899383 51.4626868)",1,,,A38,,,,0.07141412638170172,0.0,#a50026
1347126815,footway,,,False,False,4.14,32.18679999999999,0.463,"LINESTRING (-2.5800025 51.4566269, -2.5799626 51.4565992)",,,,,,,,0.03622755708482157,0.2,#f46d43
529808768,primary,30 mph,West Street,False,False,5.34,48.2802,0.398,"LINESTRING (-2.5798558 51.456479, -2.5799256 51.4564587)",2,,,A420,,,,0.07338691918101041,0.0,#a50026
529808768,primary,30 mph,West Street,False,True,17.12,48.2802,1.277,"LINESTRING (-2.5798558 51.456479, -2.5797958 51.4564962, -2.579744 51.4565111, -2.5796264 51.4565357)",2,,,A420,,,,0.09873468087723708,0.0,#a50026
"[1347126814, 1347126815]",footway,,,False,"[False, True]",15.28,32.18679999999999,1.709,"LINESTRING (-2.5798558 51.456479, -2.5798782 51.4565056, -2.5799256 51.4565556, -2.5799626 51.4565992)",,,,,,,,0.07338691918101041,0.0,#a50026
72343257,residential,20 mph,Ludlow Close,False,False,4.57,32.1868,0.511,"LINESTRING (-2.5820606 51.4641195, -2.5820127 51.4641478)",,,,,,,,0.0027219750310337205,0.9,#199750
72343257,residential,20 mph,Ludlow Close,False,True,6.66,32.1868,0.745,"LINESTRING (-2.5820606 51.4641195, -2.5821237 51.4640743)",,,,,,,,0.002749102771852036,0.9,#199750
395171851,footway,,,False,False,14.24,32.18679999999999,1.592,"LINESTRING (-2.5820606 51.4641195, -2.582056 51.4642475)",,,,,,,,0.0027219750310337205,0.9,#199750
395171851,footway,,,False,False,6.12,32.18679999999999,0.684,"LINESTRING (-2.582056 51.4642475, -2.5820544 51.4643025)",,,,,,,,0.0026244518540636643,0.9,#199750
395171851,footway,,,False,True,14.24,32.18679999999999,1.592,"LINESTRING (-2.582056 51.4642475, -2.5820606 51.4641195)",,,,,,,,0.0027219750310337205,0.9,#199750
395171838,footway,,,False,False,22.63,32.18679999999999,2.531,"LINESTRING (-2.582056 51.4642475, -2.5821118 51.4642321, -2.5821835 51.464223, -2.5822332 51.4642312, -2.5822757 51.4642467, -2.5822961 51.4642667, -2.5823035 51.4642999)",,,,,,,,0.0026288213876029085,0.9,#199750
395171838,footway,,,False,True,9.13,32.18679999999999,1.021,"LINESTRING (-2.582056 51.4642475, -2.582001 51.4642732, -2.5819609 51.4643035)",,,,,,,,0.0026244518540636643,0.9,#199750
395171848,footway,,,False,False,6.48,32.18679999999999,0.725,"LINESTRING (-2.5820544 51.4643025, -2.5819609 51.4643035)",,,,,,,,0.0025944966315763584,0.9,#199750
395171848,footway,,,False,True,17.26,32.18679999999999,1.93,"LINESTRING (-2.5820544 51.4643025, -2.5823035 51.4642999)",,,,,,,,0.00258452984155766,0.9,#199750
395171851,footway,,,False,False,16.98,32.18679999999999,1.899,"LINESTRING (-2.5820544 51.4643025, -2.5820873 51.4644538)",,,,,,,,0.00258452984155766,0.9,#199750
395171851,footway,,,False,True,6.12,32.18679999999999,0.684,"LINESTRING (-2.5820544 51.4643025, -2.582056 51.4642475)",,,,,,,,0.0026244518540636643,0.9,#199750
395171848,footway,,,False,False,17.26,32.18679999999999,1.93,"LINESTRING (-2.5823035 51.4642999, -2.5820544 51.4643025)",,,,,,,,0.00258452984155766,0.9,#199750
395171848,footway,,,False,True,3.93,32.18679999999999,0.439,"LINESTRING (-2.5823035 51.4642999, -2.5823601 51.4643022)",,,,,,,,0.0025550309332633284,0.9,#199750
395171838,footway,,,False,False,24.91,32.18679999999999,2.786,"LINESTRING (-2.5823035 51.4642999, -2.5822961 51.4643278, -2.5822757 51.4643733, -2.5822493 51.4643998, -2.5822113 51.4644244, -2.5821396 51.4644462, -2.5820873 51.4644538)",,,,,,,,0.0025550309332633284,0.9,#199750
395171838,footway,,,False,True,22.63,32.18679999999999,2.531,"LINESTRING (-2.5823035 51.4642999, -2.5822961 51.4642667, -2.5822757 51.4642467, -2.5822332 51.4642312, -2.5821835 51.464223, -2.5821118 51.4642321, -2.582056 51.4642475)",,,,,,,,0.0026288213876029085,0.9,#199750
3878220,unclassified,20 mph,Grosvenor Road,False,False,36.9,32.1868,4.127,"LINESTRING (-2.5826653 51.4643102, -2.5830591 51.4640868)",,,,,,,,0.0025743343690923268,0.9,#199750
395171848,footway,,,False,False,5.08,32.18679999999999,0.568,"LINESTRING (-2.5826653 51.4643102, -2.5825922 51.4643068)",,,,,,,,0.002509523372658159,0.9,#199750
3878220,unclassified,20 mph,Grosvenor Road,False,True,34.46,32.1868,3.855,"LINESTRING (-2.5826653 51.4643102, -2.5825671 51.4643811, -2.5823312 51.4645398)",,,,,,,,0.002496309839142101,0.9,#199750
72343257,residential,20 mph,Ludlow Close,False,False,16.49,32.1868,1.844,"LINESTRING (-2.5817541 51.4643058, -2.5815921 51.4644144)",,,,,,,,0.0026142018780873104,0.9,#199750
72343257,residential,20 mph,Ludlow Close,False,True,18.75,32.1868,2.097,"LINESTRING (-2.5817541 51.4643058, -2.5819464 51.4641871)",,,,,,,,0.002683681906089928,0.9,#199750
395171848,footway,,,False,True,14.33,32.18679999999999,1.603,"LINESTRING (-2.5817541 51.4643058, -2.5819609 51.4643035)",,,,,,,,0.0026142018780873104,0.9,#199750
395171848,footway,,,False,False,14.33,32.18679999999999,1.603,"LINESTRING (-2.5819609 51.4643035, -2.5817541 51.4643058)",,,,,,,,0.0026142018780873104,0.9,#199750
395171848,footway,,,False,True,6.48,32.18679999999999,0.725,"LINESTRING (-2.5819609 51.4643035, -2.5820544 51.4643025)",,,,,,,,0.0025944966315763584,0.9,#199750
395171838,footway,,,False,False,9.13,32.18679999999999,1.021,"LINESTRING (-2.5819609 51.4643035, -2.582001 51.4642732, -2.582056 51.4642475)",,,,,,,,0.0026244518540636643,0.9,#199750
