edge_id,from_node,to_node,key,length,travel_time,access_score
848,2433764738,2433742220,0,42.0,4.697,0.0034060032043855713
849,2433764738,2433764901,0,22.49,2.515,0.003266427906643752
850,2433764742,2433764880,0,7.73,0.865,0.0055791184155035865
851,2433764742,2433764671,0,15.5,1.733,0.0055791184155035865
852,2433764742,2433764834,0,11.05,1.235,0.005766231516354774
853,2433764756,5438534268,0,7.29,0.816,0.003968787686964601
854,2433764756,835468057,0,12.37,1.384,0.003966489244128727
855,2433764756,2433764668,0,22.54,2.522,0.003966489244128727
856,2433764759,859323259,0,47.73,5.338,0.002912401484160175
857,2433764759,859323097,0,59.36,6.639,0.002912401484160175
858,2433764759,2433764901,0,30.06,3.362,0.003051986780315533
859,2433764766,2433764834,0,1.76,0.197,0.005766231516354774
860,2433764766,2433764912,0,28.62,3.201,0.005762238740077226
861,2433764766,2433764880,0,7.71,0.862,0.00571010095411612
862,2433764788,2433764852,0,5.49,0.614,0.0031657344322089374
863,2433764788,2433764735,0,48.84,5.463,0.0031657344322089374
864,2433764788,2433744230,0,23.6,2.64,0.003404528469614024
865,2433764834,2433764766,0,1.76,0.197,0.005766231516354774
866,2433764834,2433764742,0,11.05,1.235,0.005766231516354774
867,2433764834,2433764639,0,47.48,5.31,0.007301967942931844
868,2433764852,2433764788,0,5.49,0.614,0.0031657344322089374
869,2433764852,859323020,0,9.61,1.074,0.0031117553503474406
870,2433764852,2433764891,0,21.73,2.43,0.0032674888694418473
871,2433764880,2433764671,0,83.11,9.296,0.005516688635342281
872,2433764880,2433764742,0,7.73,0.865,0.0055791184155035865
873,2433764880,2433764766,0,7.71,0.862,0.00571010095411612
874,2433764891,2433764852,0,21.73,2.43,0.0032674888694418473
875,2433764891,2433764893,0,39.84,4.456,0.003575116228055045
876,2433764891,2433764623,0,17.35,1.941,0.003351339283250463
877,2433764893,3546758138,0,3.48,0.39,0.0035805628862577593
878,2433764893,2433764650,0,21.36,2.389,0.0038549475084091183
879,2433764893,2433764891,0,39.84,4.456,0.003575116228055045
880,2433764901,2433764738,0,22.49,2.515,0.003266427906643752
881,2433764901,2433764735,0,6.82,0.762,0.0030605228746530665
882,2433764901,2433764759,0,30.06,3.362,0.003051986780315533
883,2433764912,282238482,0,31.89,3.567,0.005744730601374316
884,2433764912,2433764766,0,28.62,3.201,0.005762238740077226
885,2433764912,2433744240,0,90.82,10.158,0.005744730601374316
886,2433778866,859323119,0,2.36,0.264,0.012160098929774028
887,2433778866,3811627143,0,12.39,1.385,0.012698984210942113
888,2433778866,2433764639,0,55.72,6.232,0.012160098929774028
889,2433778870,19871260,0,14.43,1.613,0.11353369282712328
890,2433778870,2433778872,0,32.59,3.645,0.04536393987796569
891,2433778870,2433778874,0,37.69,4.216,0.04536393987796569
892,2433778872,2433778870,0,32.59,3.645,0.04536393987796569
893,2433778872,3811627140,0,14.73,1.647,0.018918840788184385
894,2433778872,2433778874,0,28.9,3.233,0.020834868972034664
895,2433778874,25280231,0,5.06,0.566,0.017008141998595083
896,2433778874,2433778870,0,37.69,4.216,0.04536393987796569
897,2433778874,2433778872,0,28.9,3.233,0.020834868972034664
898,2433779947,364165239,0,6.86,0.767,0.011293295233097893
899,2433779947,19871266,0,40.11,4.486,0.013040425050036523
900,2433779947,2433779953,0,31.29,3.5,0.016832688147893918
