u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,geometry,lit,surface,lanes,ref,service,tunnel,access,bridge,junction
282238484,282238482,0,43590867,residential,20 mph,Little Bishop Street,False,True,107.41966200856102,"LINESTRING (-2.584889 51.4628277, -2.584877 51.4627988, -2.5848946 51.4627329, -2.5849241 51.4626782, -2.5849136 51.4626245, -2.584515 51.4622622, -2.5843315 51.4620917, -2.5842743 51.4619844)",no,asphalt,,,,,,,
282238484,835468055,0,72343224,unclassified,20 mph,Prince's Street,False,False,61.45349412333963,"LINESTRING (-2.584889 51.4628277, -2.584735 51.4628594, -2.5845544 51.4629233, -2.584398 51.4630136, -2.5841821 51.4628803)",no,asphalt,,,,,,,
104833,19875368,0,8302427,residential,20 mph,Gwyn Street,False,True,81.40750362863251,"LINESTRING (-2.5866486 51.4643456, -2.5875944 51.4639111)",yes,asphalt,,,,,,,
104833,104808,0,"[4832798, 72343207]",unclassified,20 mph,Drummond Road,False,True,61.59965379604079,"LINESTRING (-2.5866486 51.4643456, -2.5862741 51.464075, -2.586081 51.4639194)",no,asphalt,,,,,,,
19875367,21591966,0,24359420,unclassified,20 mph,Brigstocke Road,False,False,90.30885378591174,"LINESTRING (-2.5870991 51.4634284, -2.5863995 51.4627431)",yes,asphalt,,,,,,,
19875367,19875368,0,24359420,unclassified,20 mph,Brigstocke Road,False,True,63.704127665862664,"LINESTRING (-2.5870991 51.4634284, -2.5875944 51.4639111)",yes,asphalt,,,,,,,
19875367,104808,0,193994529,unclassified,20 mph,City Road,False,False,89.19212914497304,"LINESTRING (-2.5870991 51.4634284, -2.5863379 51.4637955, -2.586081 51.4639194)",yes,asphalt,2,,,,,,
19875367,293907316,0,193994529,unclassified,20 mph,City Road,False,True,116.07255995202004,"LINESTRING (-2.5870991 51.4634284, -2.5875474 51.4632256, -2.5884548 51.462815)",yes,asphalt,2,,,,,,
283348164,283348229,0,25974236,residential,20 mph,Denbigh Street,False,False,117.67878708460879,"LINESTRING (-2.5847552 51.4645439, -2.5836957 51.4637675, -2.5836549 51.4637376)",no,asphalt,,,,,,,
283348164,283348057,0,193994529,unclassified,20 mph,City Road,False,True,57.554629227666226,"LINESTRING (-2.5847552 51.4645439, -2.5851323 51.4643647, -2.5854158 51.46423)",no,asphalt,2,,,,,,
19875368,104833,0,8302427,residential,20 mph,Gwyn Street,False,False,81.40750362863251,"LINESTRING (-2.5875944 51.4639111, -2.5866486 51.4643456)",yes,asphalt,,,,,,,
19875368,19875367,0,24359420,unclassified,20 mph,Brigstocke Road,False,False,63.704127665862664,"LINESTRING (-2.5875944 51.4639111, -2.5870991 51.4634284)",yes,asphalt,,,,,,,
19875368,5900430623,0,24359420,unclassified,20 mph,Brigstocke Road,False,True,67.27636254848716,"LINESTRING (-2.5875944 51.4639111, -2.5881204 51.4644197)",yes,asphalt,,,,,,,
19875368,4794218449,0,26792514,residential,20 mph,Hepburn Road,False,False,66.07768775637653,"LINESTRING (-2.5875944 51.4639111, -2.5883427 51.4635426)",yes,asphalt,,,,,,,
293907316,2882617940,0,4234845,unclassified,20 mph,Brunswick Street,False,False,48.57795779798697,"LINESTRING (-2.5884548 51.462815, -2.5880269 51.4624689)",no,asphalt,,,,,,,
